index,carrier,year,month,name,value,groupid
42502,AA,2006,1,BOS,22,1_AA
54455,YV,2006,8,BOS,42,8_YV
54340,XE,2006,8,BOS,15,8_XE
54189,US,2006,8,BOS,22,8_US
44577,MQ,2006,2,BOS,20,2_MQ
54109,UA,2006,8,BOS,20,8_UA
44689,NW,2006,2,BOS,27,2_NW
53862,OH,2006,8,BOS,32,8_OH
53756,NW,2006,8,BOS,22,8_NW
53638,MQ,2006,8,BOS,24,8_MQ
44800,OH,2006,2,BOS,23,2_OH
53566,FL,2006,8,BOS,29,8_FL
53284,DL,2006,8,BOS,18,8_DL
45029,RU,2006,2,BOS,15,2_RU
53214,CO,2006,8,BOS,30,8_CO
53171,B6,2006,8,BOS,21,8_B6
53129,AS,2006,8,BOS,9,8_AS
52940,YV,2006,7,BOS,45,7_YV
45152,UA,2006,2,BOS,20,2_UA
52827,XE,2006,7,BOS,22,7_XE
52676,US,2006,7,BOS,28,7_US
45237,US,2006,2,BOS,16,2_US
52596,UA,2006,7,BOS,26,7_UA
52350,OH,2006,7,BOS,34,7_OH
52248,NW,2006,7,BOS,24,7_NW
52130,MQ,2006,7,BOS,29,7_MQ
44508,FL,2006,2,BOS,22,2_FL
54567,AA,2006,9,BOS,18,9_AA
54657,AS,2006,9,BOS,25,9_AS
54698,B6,2006,9,BOS,19,9_B6
43738,US,2006,1,BOS,18,1_US
56923,OH,2006,10,BOS,37,10_OH
56818,NW,2006,10,BOS,34,10_NW
56703,MQ,2006,10,BOS,27,10_MQ
56632,FL,2006,10,BOS,28,10_FL
43885,YV,2006,1,BOS,25,1_YV
56360,DL,2006,10,BOS,20,10_DL
56287,CO,2006,10,BOS,31,10_CO
56240,B6,2006,10,BOS,22,10_B6
44011,AA,2006,2,BOS,19,2_AA
56199,AS,2006,10,BOS,13,10_AS
56113,AA,2006,10,BOS,20,10_AA
52058,FL,2006,7,BOS,29,7_FL
56001,YV,2006,9,BOS,41,9_YV
55886,XE,2006,9,BOS,16,9_XE
55734,US,2006,9,BOS,24,9_US
44136,B6,2006,2,BOS,27,2_B6
55654,UA,2006,9,BOS,21,9_UA
44172,CO,2006,2,BOS,28,2_CO
55405,OH,2006,9,BOS,31,9_OH
55299,NW,2006,9,BOS,29,9_NW
55181,MQ,2006,9,BOS,23,9_MQ
44248,DL,2006,2,BOS,19,2_DL
55109,FL,2006,9,BOS,27,9_FL
54818,DL,2006,9,BOS,18,9_DL
54744,CO,2006,9,BOS,19,9_CO
44095,AS,2006,2,BOS,14,2_AS
57153,UA,2006,10,BOS,21,10_UA
45381,YV,2006,2,BOS,30,2_YV
45496,AA,2006,3,BOS,23,3_AA
49188,NW,2006,5,BOS,37,5_NW
49071,MQ,2006,5,BOS,36,5_MQ
48999,FL,2006,5,BOS,34,5_FL
46517,RU,2006,3,BOS,29,3_RU
48738,DL,2006,5,BOS,26,5_DL
48663,CO,2006,5,BOS,44,5_CO
48624,B6,2006,5,BOS,24,5_B6
46639,UA,2006,3,BOS,20,3_UA
48583,AS,2006,5,BOS,20,5_AS
48495,AA,2006,5,BOS,36,5_AA
48380,YV,2006,4,BOS,32,4_YV
46724,US,2006,3,BOS,16,3_US
48235,US,2006,4,BOS,22,4_US
48150,UA,2006,4,BOS,21,4_UA
48023,RU,2006,4,BOS,17,4_RU
47860,AA,2006,8,BOS,26,8_AA
47790,OH,2006,4,BOS,18,4_OH
46869,YV,2006,3,BOS,23,3_YV
47682,NW,2006,4,BOS,22,4_NW
47565,MQ,2006,4,BOS,21,4_MQ
47494,FL,2006,4,BOS,24,4_FL
46979,AA,2006,4,BOS,21,4_AA
47235,DL,2006,4,BOS,23,4_DL
47155,CO,2006,4,BOS,31,4_CO
47075,AS,2006,4,BOS,28,4_AS
46285,OH,2006,3,BOS,18,3_OH
49297,OH,2006,5,BOS,33,5_OH
49532,RU,2006,5,BOS,17,5_RU
46177,NW,2006,3,BOS,24,3_NW
51705,CO,2006,7,BOS,34,7_CO
51662,B6,2006,7,BOS,25,7_B6
51621,AS,2006,7,BOS,24,7_AS
51531,AA,2006,7,BOS,28,7_AA
45581,AS,2006,3,BOS,38,3_AS
51418,YV,2006,6,BOS,42,6_YV
51271,US,2006,6,BOS,36,6_US
45622,B6,2006,3,BOS,12,3_B6
51189,UA,2006,6,BOS,39,6_UA
45659,CO,2006,3,BOS,30,3_CO
51066,RU,2006,6,BOS,31,6_RU
50824,OH,2006,6,BOS,35,6_OH
51778,DL,2006,7,BOS,21,7_DL
45734,DL,2006,3,BOS,19,3_DL
50599,MQ,2006,6,BOS,38,6_MQ
50527,FL,2006,6,BOS,37,6_FL
50242,DL,2006,6,BOS,30,6_DL
50168,CO,2006,6,BOS,46,6_CO
50127,B6,2006,6,BOS,33,6_B6
45994,FL,2006,3,BOS,15,3_FL
50085,AS,2006,6,BOS,28,6_AS
49995,AA,2006,6,BOS,38,6_AA
49881,YV,2006,5,BOS,46,5_YV
46063,MQ,2006,3,BOS,16,3_MQ
49734,US,2006,5,BOS,34,5_US
49654,UA,2006,5,BOS,38,5_UA
50717,NW,2006,6,BOS,39,6_NW
57232,US,2006,10,BOS,25,10_US
47117,B6,2006,4,BOS,15,4_B6
59079,AA,2006,12,BOS,22,12_AA
