index,carrier,year,month,name,value,groupid
116882,AA,2010,1,BOS,25,1_AA
123188,MQ,2010,5,BOS,16,5_MQ
123518,UA,2010,5,BOS,12,5_UA
123588,US,2010,5,BOS,13,5_US
123666,WN,2010,5,BOS,16,5_WN
124066,AA,2010,6,BOS,23,6_AA
124190,B6,2010,6,BOS,19,6_B6
124299,DL,2010,6,BOS,24,6_DL
124420,EV,2010,6,BOS,27,6_EV
124662,MQ,2010,6,BOS,17,6_MQ
125016,UA,2010,6,BOS,19,6_UA
125087,US,2010,6,BOS,16,6_US
125164,WN,2010,6,BOS,20,6_WN
125557,AA,2010,7,BOS,23,7_AA
125787,DL,2010,7,BOS,27,7_DL
125901,EV,2010,7,BOS,13,7_EV
126140,MQ,2010,7,BOS,22,7_MQ
126487,UA,2010,7,BOS,17,7_UA
122955,EV,2010,5,BOS,0,5_EV
126558,US,2010,7,BOS,20,7_US
122844,DL,2010,5,BOS,21,5_DL
122618,AA,2010,5,BOS,23,5_AA
119197,UA,2010,2,BOS,21,2_UA
119273,US,2010,2,BOS,17,2_US
119352,WN,2010,2,BOS,25,2_WN
119740,AA,2010,3,BOS,35,3_AA
119863,B6,2010,3,BOS,31,3_B6
119974,DL,2010,3,BOS,26,3_DL
120295,MQ,2010,3,BOS,26,3_MQ
120612,UA,2010,3,BOS,26,3_UA
120688,US,2010,3,BOS,22,3_US
120764,WN,2010,3,BOS,35,3_WN
121156,AA,2010,4,BOS,17,4_AA
121279,B6,2010,4,BOS,13,4_B6
121389,DL,2010,4,BOS,14,4_DL
121724,MQ,2010,4,BOS,12,4_MQ
122064,UA,2010,4,BOS,12,4_UA
122139,US,2010,4,BOS,11,4_US
122216,WN,2010,4,BOS,22,4_WN
122737,B6,2010,5,BOS,13,5_B6
118873,MQ,2010,2,BOS,19,2_MQ
126635,WN,2010,7,BOS,23,7_WN
127156,B6,2010,8,BOS,22,8_B6
131111,WN,2010,10,BOS,29,10_WN
131491,AA,2010,11,BOS,16,11_AA
131612,B6,2010,11,BOS,23,11_B6
131723,DL,2010,11,BOS,18,11_DL
131835,EV,2010,11,BOS,15,11_EV
132081,MQ,2010,11,BOS,16,11_MQ
132429,UA,2010,11,BOS,9,11_UA
132502,US,2010,11,BOS,18,11_US
132580,WN,2010,11,BOS,22,11_WN
132969,AA,2010,12,BOS,23,12_AA
133094,B6,2010,12,BOS,35,12_B6
133209,DL,2010,12,BOS,24,12_DL
133326,EV,2010,12,BOS,18,12_EV
133568,MQ,2010,12,BOS,19,12_MQ
133916,UA,2010,12,BOS,14,12_UA
133991,US,2010,12,BOS,20,12_US
134069,WN,2010,12,BOS,35,12_WN
131034,US,2010,10,BOS,16,10_US
127031,AA,2010,8,BOS,26,8_AA
130964,UA,2010,10,BOS,12,10_UA
130368,EV,2010,10,BOS,27,10_EV
127266,DL,2010,8,BOS,21,8_DL
127382,EV,2010,8,BOS,12,8_EV
127619,MQ,2010,8,BOS,18,8_MQ
127979,UA,2010,8,BOS,18,8_UA
128051,US,2010,8,BOS,15,8_US
128129,WN,2010,8,BOS,21,8_WN
128526,AA,2010,9,BOS,23,9_AA
128648,B6,2010,9,BOS,19,9_B6
128758,DL,2010,9,BOS,18,9_DL
128878,EV,2010,9,BOS,30,9_EV
129123,MQ,2010,9,BOS,20,9_MQ
129487,UA,2010,9,BOS,11,9_UA
129558,US,2010,9,BOS,16,9_US
129635,WN,2010,9,BOS,16,9_WN
130027,AA,2010,10,BOS,18,10_AA
130146,B6,2010,10,BOS,21,10_B6
130254,DL,2010,10,BOS,19,10_DL
130613,MQ,2010,10,BOS,18,10_MQ
118550,DL,2010,2,BOS,21,2_DL
125681,B6,2010,7,BOS,21,7_B6
118438,B6,2010,2,BOS,24,2_B6
117765,UA,2010,1,BOS,19,1_UA
117444,MQ,2010,1,BOS,21,1_MQ
117841,US,2010,1,BOS,16,1_US
117119,DL,2010,1,BOS,20,1_DL
117005,B6,2010,1,BOS,25,1_B6
117918,WN,2010,1,BOS,28,1_WN
118315,AA,2010,2,BOS,30,2_AA
122855,DL,2010,5,DCA,25,5_DL
120696,US,2010,3,DCA,12,3_US
118322,AA,2010,2,DCA,15,2_AA
