index,carrier,year,month,name,value,groupid
134335,AA,2011,1,BOS,22,1_AA
144632,YV,2011,8,BOS,0,8_YV
136217,MQ,2011,2,BOS,19,2_MQ
144521,XE,2011,8,BOS,16,8_XE
144442,WN,2011,8,BOS,24,8_WN
144368,US,2011,8,BOS,24,8_US
136349,OO,2011,2,BOS,80,2_OO
144023,MQ,2011,8,BOS,25,8_MQ
136490,UA,2011,2,BOS,12,2_UA
143936,FL,2011,8,BOS,21,8_FL
143886,F9,2011,8,BOS,24,8_F9
143772,EV,2011,8,BOS,23,8_EV
136564,US,2011,2,BOS,12,2_US
143648,DL,2011,8,BOS,17,8_DL
143584,CO,2011,8,BOS,31,8_CO
136643,WN,2011,2,BOS,14,2_WN
143535,B6,2011,8,BOS,31,8_B6
143486,AS,2011,8,BOS,12,8_AS
143405,AA,2011,8,BOS,34,8_AA
136718,XE,2011,2,BOS,13,2_XE
143214,XE,2011,7,BOS,20,7_XE
143136,WN,2011,7,BOS,20,7_WN
143063,US,2011,7,BOS,21,7_US
136914,AA,2011,3,BOS,26,3_AA
142991,UA,2011,7,BOS,30,7_UA
142714,MQ,2011,7,BOS,20,7_MQ
144717,AA,2011,9,BOS,30,9_AA
144797,AS,2011,9,BOS,22,9_AS
144844,B6,2011,9,BOS,24,9_B6
136128,FL,2011,2,BOS,13,2_FL
146532,FL,2011,10,BOS,15,10_FL
146486,F9,2011,10,BOS,14,10_F9
146373,EV,2011,10,BOS,14,10_EV
135622,AA,2011,2,BOS,20,2_AA
146251,DL,2011,10,BOS,16,10_DL
146189,CO,2011,10,BOS,25,10_CO
135701,AS,2011,2,BOS,7,2_AS
146140,B6,2011,10,BOS,22,10_B6
146094,AS,2011,10,BOS,13,10_AS
135746,B6,2011,2,BOS,27,2_B6
146016,AA,2011,10,BOS,22,10_AA
145933,YV,2011,9,BOS,33,9_YV
136993,AS,2011,3,BOS,8,3_AS
145825,XE,2011,9,BOS,25,9_XE
145746,WN,2011,9,BOS,20,9_WN
145671,US,2011,9,BOS,21,9_US
145601,UA,2011,9,BOS,28,9_UA
135864,DL,2011,2,BOS,13,2_DL
145327,MQ,2011,9,BOS,26,9_MQ
145241,FL,2011,9,BOS,14,9_FL
135976,EV,2011,2,BOS,8,2_EV
145193,F9,2011,9,BOS,30,9_F9
136084,F9,2011,2,BOS,16,2_F9
145080,EV,2011,9,BOS,19,9_EV
144953,DL,2011,9,BOS,17,9_DL
144894,CO,2011,9,BOS,31,9_CO
135795,CO,2011,2,BOS,13,2_CO
146618,MQ,2011,10,BOS,23,10_MQ
142627,FL,2011,7,BOS,20,7_FL
142459,EV,2011,7,BOS,27,7_EV
