index,carrier,year,month,name,value,groupid
149920,AA,2012,1,BOS,21,1_AA
158082,US,2012,7,BOS,14,7_US
158156,WN,2012,7,BOS,29,7_WN
158306,AA,2012,8,BOS,27,8_AA
152179,WN,2012,2,BOS,9,2_WN
158439,B6,2012,8,BOS,22,8_B6
158512,DL,2012,8,BOS,15,8_DL
158680,EV,2012,8,BOS,16,8_EV
152085,US,2012,2,BOS,8,2_US
159225,UA,2012,8,BOS,27,8_UA
159298,US,2012,8,BOS,14,8_US
159409,WN,2012,8,BOS,27,8_WN
159504,AA,2012,9,BOS,43,9_AA
159674,B6,2012,9,BOS,16,9_B6
152331,AA,2012,3,BOS,25,3_AA
159727,DL,2012,9,BOS,10,9_DL
151444,EV,2012,2,BOS,17,2_EV
160399,UA,2012,9,BOS,20,9_UA
160484,US,2012,9,BOS,14,9_US
151315,DL,2012,2,BOS,7,2_DL
160562,WN,2012,9,BOS,15,9_WN
160707,AA,2012,10,BOS,28,10_AA
151257,B6,2012,2,BOS,13,2_B6
160834,B6,2012,10,BOS,15,10_B6
160925,DL,2012,10,BOS,12,10_DL
161038,EV,2012,10,BOS,16,10_EV
151129,AA,2012,2,BOS,13,2_AA
150972,WN,2012,1,BOS,11,1_WN
161566,UA,2012,10,BOS,14,10_UA
159854,EV,2012,9,BOS,9,9_EV
161645,US,2012,10,BOS,11,10_US
158002,UA,2012,7,BOS,39,7_UA
157527,EV,2012,7,BOS,7,7_EV
153723,DL,2012,4,BOS,8,4_DL
154406,UA,2012,4,BOS,20,4_UA
154487,US,2012,4,BOS,9,4_US
153664,B6,2012,4,BOS,12,4_B6
154580,WN,2012,4,BOS,13,4_WN
154725,AA,2012,5,BOS,31,5_AA
154851,B6,2012,5,BOS,16,5_B6
153535,AA,2012,4,BOS,18,4_AA
154913,DL,2012,5,BOS,11,5_DL
155043,EV,2012,5,BOS,21,5_EV
153381,WN,2012,3,BOS,17,3_WN
155596,UA,2012,5,BOS,27,5_UA
153287,US,2012,3,BOS,12,3_US
152459,B6,2012,3,BOS,20,3_B6
155675,US,2012,5,BOS,14,5_US
155918,AA,2012,6,BOS,27,6_AA
153201,UA,2012,3,BOS,25,3_UA
156097,B6,2012,6,BOS,20,6_B6
156108,DL,2012,6,BOS,18,6_DL
156327,EV,2012,6,BOS,17,6_EV
156810,UA,2012,6,BOS,33,6_UA
156881,US,2012,6,BOS,16,6_US
152649,EV,2012,3,BOS,18,3_EV
156988,WN,2012,6,BOS,30,6_WN
157120,AA,2012,7,BOS,28,7_AA
157274,B6,2012,7,BOS,21,7_B6
152518,DL,2012,3,BOS,11,3_DL
157324,DL,2012,7,BOS,20,7_DL
155767,WN,2012,5,BOS,22,5_WN
161744,WN,2012,10,BOS,17,10_WN
151999,UA,2012,2,BOS,11,2_UA
153853,EV,2012,4,BOS,25,4_EV
163229,B6,2012,12,BOS,23,12_B6
150048,B6,2012,1,BOS,18,1_B6
150797,UA,2012,1,BOS,17,1_UA
163986,UA,2012,12,BOS,15,12_UA
163090,AA,2012,12,BOS,20,12_AA
162044,B6,2012,11,BOS,15,11_B6
150107,DL,2012,1,BOS,11,1_DL
162093,DL,2012,11,BOS,10,11_DL
162990,WN,2012,11,BOS,19,11_WN
164083,US,2012,12,BOS,13,12_US
163279,DL,2012,12,BOS,12,12_DL
163459,EV,2012,12,BOS,17,12_EV
162852,US,2012,11,BOS,11,11_US
161886,AA,2012,11,BOS,23,11_AA
150881,US,2012,1,BOS,11,1_US
162242,EV,2012,11,BOS,8,11_EV
162790,UA,2012,11,BOS,15,11_UA
164190,WN,2012,12,BOS,21,12_WN
150238,EV,2012,1,BOS,4,1_EV
163236,B6,2012,12,DCA,28,12_B6
152532,DL,2012,3,DCA,12,3_DL
157135,AA,2012,7,DCA,28,7_AA
152673,EV,2012,3,DCA,38,3_EV
156891,US,2012,6,DCA,12,6_US
157281,B6,2012,7,DCA,22,7_B6
157322,DL,2012,7,DCA,20,7_DL
152466,B6,2012,3,DCA,16,3_B6
157446,EV,2012,7,DCA,40,7_EV
158509,DL,2012,8,DCA,14,8_DL
158455,B6,2012,8,DCA,25,8_B6
162873,US,2012,11,DCA,11,11_US
158325,AA,2012,8,DCA,33,8_AA
162962,WN,2012,11,DCA,13,11_WN
158229,WN,2012,7,DCA,41,7_WN
150262,EV,2012,1,DCA,20,1_EV
150538,MQ,2012,1,DCA,10,1_MQ
158079,US,2012,7,DCA,16,7_US
158004,UA,2012,7,DCA,40,7_UA
157974,OO,2012,7,DCA,18,7_OO
156835,UA,2012,6,DCA,29,6_UA
157810,MQ,2012,7,DCA,21,7_MQ
163100,AA,2012,12,DCA,20,12_AA
152338,AA,2012,3,DCA,26,3_AA
152944,MQ,2012,3,DCA,17,3_MQ
156123,DL,2012,6,DCA,11,6_DL
156768,OO,2012,6,DCA,0,6_OO
154147,MQ,2012,4,DCA,8,4_MQ
154287,OO,2012,4,DCA,10,4_OO
153737,DL,2012,4,DCA,9,4_DL
149928,AA,2012,1,DCA,18,1_AA
154414,UA,2012,4,DCA,15,4_UA
164199,WN,2012,12,DCA,8,12_WN
153671,B6,2012,4,DCA,11,4_B6
154495,US,2012,4,DCA,7,4_US
164090,US,2012,12,DCA,15,12_US
154732,AA,2012,5,DCA,26,5_AA
153542,AA,2012,4,DCA,18,4_AA
163992,UA,2012,12,DCA,14,12_UA
154858,B6,2012,5,DCA,15,5_B6
154927,DL,2012,5,DCA,12,5_DL
163333,DL,2012,12,DCA,13,12_DL
155068,EV,2012,5,DCA,39,5_EV
155342,MQ,2012,5,DCA,13,5_MQ
155479,OO,2012,5,DCA,11,5_OO
155604,UA,2012,5,DCA,25,5_UA
153295,US,2012,3,DCA,11,3_US
155682,US,2012,5,DCA,14,5_US
163776,MQ,2012,12,DCA,28,12_MQ
163473,EV,2012,12,DCA,34,12_EV
155931,AA,2012,6,DCA,22,6_AA
153210,UA,2012,3,DCA,26,3_UA
156051,B6,2012,6,DCA,20,6_B6
150121,DL,2012,1,DCA,15,1_DL
156264,EV,2012,6,DCA,38,6_EV
153081,OO,2012,3,DCA,0,3_OO
156603,MQ,2012,6,DCA,15,6_MQ
150055,B6,2012,1,DCA,16,1_B6
158669,EV,2012,8,DCA,41,8_EV
161753,WN,2012,10,DCA,9,10_WN
152094,US,2012,2,DCA,9,2_US
159681,B6,2012,9,DCA,17,9_B6
159731,DL,2012,9,DCA,12,9_DL
151740,MQ,2012,2,DCA,14,2_MQ
159835,EV,2012,9,DCA,33,9_EV
160187,MQ,2012,9,DCA,18,9_MQ
151468,EV,2012,2,DCA,18,2_EV
162796,UA,2012,11,DCA,13,11_UA
160393,UA,2012,9,DCA,17,9_UA
162210,EV,2012,11,DCA,27,11_EV
160475,US,2012,9,DCA,13,9_US
151329,DL,2012,2,DCA,7,2_DL
150806,UA,2012,1,DCA,14,1_UA
160573,WN,2012,9,DCA,6,9_WN
162081,DL,2012,11,DCA,11,11_DL
151264,B6,2012,2,DCA,12,2_B6
160725,AA,2012,10,DCA,27,10_AA
160841,B6,2012,10,DCA,15,10_B6
162051,B6,2012,11,DCA,18,11_B6
160933,DL,2012,10,DCA,10,10_DL
151137,AA,2012,2,DCA,9,2_AA
161899,AA,2012,11,DCA,22,11_AA
161075,EV,2012,10,DCA,29,10_EV
161372,MQ,2012,10,DCA,18,10_MQ
161558,OO,2012,10,DCA,0,10_OO
161560,UA,2012,10,DCA,15,10_UA
161658,US,2012,10,DCA,12,10_US
150889,US,2012,1,DCA,8,1_US
162575,MQ,2012,11,DCA,19,11_MQ
151878,OO,2012,2,DCA,8,2_OO
160335,OO,2012,9,DCA,8,9_OO
162747,OO,2012,11,DCA,5,11_OO
159003,MQ,2012,8,DCA,18,8_MQ
159510,AA,2012,9,DCA,43,9_AA
159241,UA,2012,8,DCA,31,8_UA
150677,OO,2012,1,DCA,19,1_OO
159288,US,2012,8,DCA,18,8_US
152009,UA,2012,2,DCA,11,2_UA
153877,EV,2012,4,DCA,28,4_EV
159418,WN,2012,8,DCA,29,8_WN
