index,carrier,year,month,name,value,groupid
99184,AA,2009,1,BOS,23,1_AA
112715,DL,2009,10,BOS,13,10_DL
102403,DL,2009,3,BOS,18,3_DL
112608,B6,2009,10,BOS,14,10_B6
112488,AA,2009,10,BOS,20,10_AA
102712,MQ,2009,3,BOS,23,3_MQ
112104,WN,2009,9,BOS,19,9_WN
102295,B6,2009,3,BOS,17,3_B6
102817,NW,2009,3,BOS,19,3_NW
111956,UA,2009,9,BOS,15,9_UA
103112,UA,2009,3,BOS,15,3_UA
111680,NW,2009,9,BOS,23,9_NW
103193,US,2009,3,BOS,16,3_US
111565,MQ,2009,9,BOS,14,9_MQ
111259,DL,2009,9,BOS,13,9_DL
112028,US,2009,9,BOS,13,9_US
113019,MQ,2009,10,BOS,17,10_MQ
102176,AA,2009,3,BOS,23,3_AA
113134,NW,2009,10,BOS,26,10_NW
100815,B6,2009,2,BOS,13,2_B6
114585,NW,2009,11,BOS,16,11_NW
100923,DL,2009,2,BOS,12,2_DL
114470,MQ,2009,11,BOS,18,11_MQ
114248,EV,2009,11,BOS,7,11_EV
101233,MQ,2009,2,BOS,19,2_MQ
101339,NW,2009,2,BOS,22,2_NW
114156,DL,2009,11,BOS,11,11_DL
114049,B6,2009,11,BOS,13,11_B6
113929,AA,2009,11,BOS,15,11_AA
113548,WN,2009,10,BOS,18,10_WN
101632,UA,2009,2,BOS,13,2_UA
113472,US,2009,10,BOS,13,10_US
101713,US,2009,2,BOS,12,2_US
113400,UA,2009,10,BOS,16,10_UA
111150,B6,2009,9,BOS,13,9_B6
100696,AA,2009,2,BOS,18,2_AA
103652,AA,2009,4,BOS,22,4_AA
110654,WN,2009,8,BOS,34,8_WN
108625,MQ,2009,7,BOS,26,7_MQ
105646,MQ,2009,5,BOS,22,5_MQ
108307,DL,2009,7,BOS,24,7_DL
108193,B6,2009,7,BOS,27,7_B6
105755,NW,2009,5,BOS,18,5_NW
108072,AA,2009,7,BOS,32,7_AA
105341,DL,2009,5,BOS,17,5_DL
107612,US,2009,6,BOS,28,6_US
107538,UA,2009,6,BOS,31,6_UA
106111,US,2009,5,BOS,18,5_US
107247,NW,2009,6,BOS,42,6_NW
107132,MQ,2009,6,BOS,39,6_MQ
106581,AA,2009,6,BOS,40,6_AA
106811,DL,2009,6,BOS,31,6_DL
106036,UA,2009,5,BOS,16,5_UA
108738,NW,2009,7,BOS,37,7_NW
105235,B6,2009,5,BOS,17,5_B6
109025,UA,2009,7,BOS,26,7_UA
103771,B6,2009,4,BOS,18,4_B6
103880,DL,2009,4,BOS,16,4_DL
110581,US,2009,8,BOS,15,8_US
110508,UA,2009,8,BOS,22,8_UA
104180,MQ,2009,4,BOS,24,4_MQ
104292,NW,2009,4,BOS,25,4_NW
110223,NW,2009,8,BOS,35,8_NW
110107,MQ,2009,8,BOS,22,8_MQ
109785,DL,2009,8,BOS,18,8_DL
104586,UA,2009,4,BOS,16,4_UA
109676,B6,2009,8,BOS,20,8_B6
104662,US,2009,4,BOS,16,4_US
109554,AA,2009,8,BOS,25,8_AA
109098,US,2009,7,BOS,22,7_US
105120,AA,2009,5,BOS,20,5_AA
111029,AA,2009,9,BOS,19,9_AA
114854,UA,2009,11,BOS,8,11_UA
106703,B6,2009,6,BOS,34,6_B6
115621,DL,2009,12,BOS,15,12_DL
115002,WN,2009,11,BOS,12,11_WN
100146,UA,2009,1,BOS,17,1_UA
99303,B6,2009,1,BOS,21,1_B6
116487,WN,2009,12,BOS,28,12_WN
115512,B6,2009,12,BOS,22,12_B6
116048,NW,2009,12,BOS,29,12_NW
116333,UA,2009,12,BOS,15,12_UA
