"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS",
12018,"GUP","Gallup Municipal","Gallup, NM","NM","35",
12018,"GUP","Gallup Municipal","Gallup, NM","NM","35",
12019,"GUQ","Guanare Airport","Guanare, Venezuela","","",
12019,"GUQ","Guanare Airport","Guanare, Venezuela","","",
12019,"GUQ","Guanare Airport","Guanare, Venezuela","","",
12020,"GUR","Gurney","Alotau, Papua New Guinea","","",
12020,"GUR","Gurney","Alotau, Papua New Guinea","","",
12021,"GUS","Grissom ARB","Peru, IN","IN","18",
12021,"GUS","Grissom ARB","Peru, IN","IN","18",
12022,"GUT","Gutersloh Airport","Gutersloh, West Germany","","",
12022,"GUT","Gutersloh Airport","Gutersloh, Germany","","",
12023,"GUW","Atyrau Airport","Atyrau, Kazakhstan","","",
