"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS",
11873,"GDH","Golden Horn Lodge Seaplane Base","Golden Horn Lodge, AK","AK","02",
11874,"GDL","Don Miguel Hidalgo International","Guadalajara, Mexico","","",
11874,"GDL","Don Miguel Hidalgo International","Guadalajara, Mexico","","",
11874,"GDL","Miguel Hidalgo y Costilla International","Guadalajara, Mexico","","",
11874,"GDL","Miguel Hidalgo Y Costilla International","Guadalajara, Mexico","","",
11875,"GDM","Gardner Municipal","Gardner, MA","MA","25",
11875,"GDM","Gardner Municipal","Gardner, MA","MA","25",
11876,"GDN","Gdansk Airport","Gdansk, Poland","","",
11876,"GDN","Gdansk Lech Walesa","Gdansk, Poland","","",
11876,"GDN","Gdansk Lech Walesa","Gdansk, Poland","","",
11876,"GDN","Gdansk Lech Walesa","Gdansk, Poland","","",
11877,"GDQ","Gondar Airport","Gondar, Ethiopia","","",
11877,"GDQ","Gondar Airport","Gondar, Ethiopia","","",
11877,"GDQ","Gonder Atse Tewodros","Gondar, Ethiopia","","",
11878,"GDT","Grand Turk International","Grand Turk, Turks and Caicos Islands","","",
11878,"GDT","Grand Turk International","Grand Turk, Turks and Caicos Islands","","",
11878,"GDT","JAGS McCartney International","Grand Turk, Turks and Caicos Islands","","",
11879,"GDV","Dawson Community","Glendive, MT","MT","30",
11879,"GDV","Dawson Community","Glendive, MT","MT","30",
11880,"GDW","Gladwin Zettel Memorial","Gladwin, MI","MI","26",
11880,"GDW","Gladwin Zettel Memorial","Gladwin, MI","MI","26",
11881,"GDX","Sokol","Magadan, U.S.S.R.","","",
11881,"GDX","Sokol","Magadan, Russia","","",
11881,"GDX","Sokol","Magadan, Russia","","",
11881,"GDX","Sokol","Magadan, Russia","","",
11881,"GDX","Sokol","Magadan, Russia","","",
11881,"GDX","Magadan Airport","Magadan, Russia","","",
11881,"GDX","Magadan Sokol","Magadan, Russia","","",
11881,"GDX","Magadan Airport","Magadan, Russia","","",
11882,"GEA","Magenta","Noumea, New Caledonia","","",
11882,"GEA","Magenta","Noumea, New Caledonia","","",
11882,"GEA","Noumea Magenta","Noumea, New Caledonia","","",
11883,"GED","Sussex County","Georgetown, DE","DE","10",
11883,"GED","Delaware Coastal","Georgetown, DE","DE","10",
11883,"GED","Delaware Coastal","Georgetown, DE","DE","10",
11884,"GEG","Spokane International","Spokane, WA","WA","53",
11884,"GEG","Spokane International","Spokane, WA","WA","53",
11885,"GEK","Ganes Creek Airport","Ganes Creek, AK","AK","02",
11886,"GEL","Santo Angelo Airport","Santo Angelo, Brazil","","",
11886,"GEL","Santo Angelo Airport","Santo Angelo, Brazil","","",
11886,"GEL","Santo Angelo Airport","Santo Angelo, Brazil","","",
11887,"GEN","Gardermoen","Oslo, Norway","","",
11888,"GEO","Chedi Jagan International","Georgetown, Guyana","","",
11888,"GEO","Timehri In","Georgetown, Guyana","","",
11888,"GEO","Cheddi Jagan International","Georgetown, Guyana","","",
11889,"GER","Rafael Cabrera","Nueva Gerona, Cuba","","",
11889,"GER","Rafael Cabrera","Nueva Gerona, Cuba","","",
11889,"GER","Rafael Cabrera","Nueva Gerona, Cuba","","",
11889,"GER","Rafael Cabrera","Nueva Gerona, Cuba","","",
11890,"GES","General Santos Airport","General Santos, Philippines","","",
11890,"GES","General Santos Airport","General Santos, Philippines","","",
11891,"GET","Geraldton Airport","Geraldton, Australia","","",
11891,"GET","Geraldton Airport","Geraldton, Australia","","",
11892,"GEV","Gallivare Airport","Gallivare, Sweden","","",
11892,"GEV","Gallivare Airport","Gallivare, Sweden","","",
11893,"GEY","South Big Horn County","Greybull, WY","WY","56",
11893,"GEY","South Big Horn County","Greybull, WY","WY","56",
11893,"GEY","South Big Horn County","Greybull, WY","WY","56",
11894,"GEZ","Shelbyville Municipal","Shelbyville, IN","IN","18",
11894,"GEZ","Shelbyville Municipal","Shelbyville, IN","IN","18",
11895,"GFA","Malmstrom AFB Heliport","Great Falls, MT","MT","30",
11895,"GFA","Malmstrom AFB Heliport","Great Falls, MT","MT","30",
11896,"GFB","Togiak Fish Airport","Togiak Fish, AK","AK","02",
11897,"GFF","Griffith Airport","Griffith, Australia","","",
11897,"GFF","Griffith Airport","Griffith, Australia","","",
11898,"GFK","Grand Forks International","Grand Forks, ND","ND","38",
11898,"GFK","Grand Forks International","Grand Forks, ND","ND","38",
11899,"GFL","Warren County","Glens Falls, NY","NY","36",
11899,"GFL","Floyd Bennett Memorial","Glens Falls, NY","NY","36",
11900,"GFN","Grafton Airport","Grafton, Australia","","",
11900,"GFN","Grafton Airport","Grafton, Australia","","",
11901,"GFO","Bartica Airport","Bartica, Guyana","","",
11901,"GFO","Bartica Airport","Bartica, Guyana","","",
11901,"GFO","Bartica Airport","Bartica, Guyana","","",
11902,"GFR","Granville Mont Saint Michel","Granville, France","","",
11902,"GFR","Granville Mont Saint Michel","Granville, France","","",
11903,"GFY","Grootfontein Airport","Grootfontein, South Africa","","",
11903,"GFY","Grootfontein Airport","Grootfontein, Namibia","","",
11903,"GFY","Grootfontein Airport","Grootfontein, Namibia","","",
11903,"GFY","Grootfontein Airport","Grootfontein, Namibia","","",
11904,"GGE","Georgetown County","Georgetown, SC","SC","45",
11904,"GGE","Georgetown County","Georgetown, SC","SC","45",
11905,"GGG","East Texas Regional","Longview, TX","TX","48",
11905,"GGG","East Texas Regional","Longview, TX","TX","48",
11906,"GGN","Gagnoa Airport","Gagnoa, Cote d'Ivoire","","",
11906,"GGN","Gagnoa Airport","Gagnoa, Cote d'Ivoire","","",
11907,"GGT","Exuma International","Moss Town, The Bahamas","","",
11907,"GGT","Exuma International","Moss Town, The Bahamas","","",
11908,"GGW","Wokal Field/Glasgow International","Glasgow, MT","MT","30",
11908,"GGW","Wokal Field/Glasgow International","Glasgow, MT","MT","30",
11909,"GHA","Ghardaia Airport","Ghardaia, Algeria","","",
11909,"GHA","Noumerat Moufdi Zakaria","Ghardaia, Algeria","","",
11910,"GHB","Eleuthera Nalf","Governors Harbour, The Bahamas","","",
11910,"GHB","Governors Harbour Airport","Governors Harbour, The Bahamas","","",
11910,"GHB","Governors Harbour Airport","Governors Harbour, The Bahamas","","",
11911,"GHC","Gt.Harbour","Great Harbour Cay, The Bahamas","","",
11911,"GHC","Great Harbour Cay Airport","Great Harbour Cay, The Bahamas","","",
